year,dept_agr_fund,month
1962,6437,1
1962,6437,2
1962,6437,3
1962,6437,4
1962,6437,5
1962,6437,6
1962,6437,7
1962,6437,8
1962,6437,9
1962,6437,10
1962,6437,11
1962,6437,12
1963,7414,1
1963,7414,1
1963,7414,2
1963,7414,3
1963,7414,4
1963,7414,5
1963,7414,6
1963,7414,7
1963,7414,8
1963,7414,9
1963,7414,10
1963,7414,11
1964,7569,12
1964,7569,1
1964,7569,1
1964,7569,2
1964,7569,3
1964,7569,4
1964,7569,5
1964,7569,6
1964,7569,7
1964,7569,8
1964,7569,9
1964,7569,10
1965,6940,11
1965,6940,12
1965,6940,1
1965,6940,1
1965,6940,2
1965,6940,3
1965,6940,4
1965,6940,5
1965,6940,6
1965,6940,7
1965,6940,8
1965,6940,9
1966,5633,10
1966,5633,11
1966,5633,12
1966,5633,1
1966,5633,1
1966,5633,2
1966,5633,3
1966,5633,4
1966,5633,5
1966,5633,6
1966,5633,7
1966,5633,8
1967,5952,9
1967,5952,10
1967,5952,11
1967,5952,12
1967,5952,1
1967,5952,1
1967,5952,2
1967,5952,3
1967,5952,4
1967,5952,5
1967,5952,6
1967,5952,7
1968,7430,8
1968,7430,9
1968,7430,10
1968,7430,11
1968,7430,12
1968,7430,1
1968,7430,1
1968,7430,2
1968,7430,3
1968,7430,4
1968,7430,5
1968,7430,6
1969,8446,7
1969,8446,8
1969,8446,9
1969,8446,10
1969,8446,11
1969,8446,12
1969,8446,1
1969,8446,1
1969,8446,2
1969,8446,3
1969,8446,4
1969,8446,5
1970,8412,6
1970,8412,7
1970,8412,8
1970,8412,9
1970,8412,10
1970,8412,11
1970,8412,12
1970,8412,1
1970,8412,1
1970,8412,2
1970,8412,3
1970,8412,4
1971,8673,5
1971,8673,6
1971,8673,7
1971,8673,8
1971,8673,9
1971,8673,10
1971,8673,11
1971,8673,12
1971,8673,1
1971,8673,1
1971,8673,2
1971,8673,3
1972,11021,4
1972,11021,5
1972,11021,6
1972,11021,7
1972,11021,8
1972,11021,9
1972,11021,10
1972,11021,11
1972,11021,12
1972,11021,1
1972,11021,1
1972,11021,2
1973,10167,3
1973,10167,4
1973,10167,5
1973,10167,6
1973,10167,7
1973,10167,8
1973,10167,9
1973,10167,10
1973,10167,11
1973,10167,12
1973,10167,1
1973,10167,1
1974,10302,2
1974,10302,3
1974,10302,4
1974,10302,5
1974,10302,6
1974,10302,7
1974,10302,8
1974,10302,9
1974,10302,10
1974,10302,11
1974,10302,12
1974,10302,1
1975,15518,1
1975,15518,2
1975,15518,3
1975,15518,4
1975,15518,5
1975,15518,6
1975,15518,7
1975,15518,8
1975,15518,9
1975,15518,10
1975,15518,11
1975,15518,12
1976,17682,1
1976,17682,1
1976,17682,2
1976,17682,3
1976,17682,4
1976,17682,5
1976,17682,6
1976,17682,7
1976,17682,8
1976,17682,9
1976,17682,10
1976,17682,11
1977,23287,12
1977,23287,1
1977,23287,1
1977,23287,2
1977,23287,3
1977,23287,4
1977,23287,5
1977,23287,6
1977,23287,7
1977,23287,8
1977,23287,9
1977,23287,10
1978,30179,11
1978,30179,12
1978,30179,1
1978,30179,1
1978,30179,2
1978,30179,3
1978,30179,4
1978,30179,5
1978,30179,6
1978,30179,7
1978,30179,8
1978,30179,9
1979,31698,10
1979,31698,11
1979,31698,12
1979,31698,1
1979,31698,1
1979,31698,2
1979,31698,3
1979,31698,4
1979,31698,5
1979,31698,6
1979,31698,7
1979,31698,8
1980,34721,9
1980,34721,10
1980,34721,11
1980,34721,12
1980,34721,1
1980,34721,1
1980,34721,2
1980,34721,3
1980,34721,4
1980,34721,5
1980,34721,6
1980,34721,7
1981,41541,8
1981,41541,9
1981,41541,10
1981,41541,11
1981,41541,12
1981,41541,1
1981,41541,1
1981,41541,2
1981,41541,3
1981,41541,4
1981,41541,5
1981,41541,6
1982,45623,7
1982,45623,8
1982,45623,9
1982,45623,10
1982,45623,11
1982,45623,12
1982,45623,1
1982,45623,1
1982,45623,2
1982,45623,3
1982,45623,4
1982,45623,5
1983,52317,6
1983,52317,7
1983,52317,8
1983,52317,9
1983,52317,10
1983,52317,11
1983,52317,12
1983,52317,1
1983,52317,1
1983,52317,2
1983,52317,3
1983,52317,4
1984,41928,5
1984,41928,6
1984,41928,7
1984,41928,8
1984,41928,9
1984,41928,10
1984,41928,11
1984,41928,12
1984,41928,1
1984,41928,1
1984,41928,2
1984,41928,3
1985,55435,4
1985,55435,5
1985,55435,6
1985,55435,7
1985,55435,8
1985,55435,9
1985,55435,10
1985,55435,11
1985,55435,12
1985,55435,1
1985,55435,1
1985,55435,2
1986,58599,3
1986,58599,4
1986,58599,5
1986,58599,6
1986,58599,7
1986,58599,8
1986,58599,9
1986,58599,10
1986,58599,11
1986,58599,12
1986,58599,1
1986,58599,1
1987,49507,2
1987,49507,3
1987,49507,4
1987,49507,5
1987,49507,6
1987,49507,7
1987,49507,8
1987,49507,9
1987,49507,10
1987,49507,11
1987,49507,12
1987,49507,1
1988,43930,1
1988,43930,2
1988,43930,3
1988,43930,4
1988,43930,5
1988,43930,6
1988,43930,7
1988,43930,8
1988,43930,9
1988,43930,10
1988,43930,11
1988,43930,12
1989,48256,1
1989,48256,1
1989,48256,2
1989,48256,3
1989,48256,4
1989,48256,5
1989,48256,6
1989,48256,7
1989,48256,8
1989,48256,9
1989,48256,10
1989,48256,11
1990,45858,12
1990,45858,1
1990,45858,1
1990,45858,2
1990,45858,3
1990,45858,4
1990,45858,5
1990,45858,6
1990,45858,7
1990,45858,8
1990,45858,9
1990,45858,10
1991,53990,11
1991,53990,12
1991,53990,1
1991,53990,1
1991,53990,2
1991,53990,3
1991,53990,4
1991,53990,5
1991,53990,6
1991,53990,7
1991,53990,8
1991,53990,9
1992,56320,10
1992,56320,11
1992,56320,12
1992,56320,1
1992,56320,1
1992,56320,2
1992,56320,3
1992,56320,4
1992,56320,5
1992,56320,6
1992,56320,7
1992,56320,8
1993,63019,9
1993,63019,10
1993,63019,11
1993,63019,12
1993,63019,1
1993,63019,1
1993,63019,2
1993,63019,3
1993,63019,4
1993,63019,5
1993,63019,6
1993,63019,7
1994,60615,8
1994,60615,9
1994,60615,10
1994,60615,11
1994,60615,12
1994,60615,1
1994,60615,1
1994,60615,2
1994,60615,3
1994,60615,4
1994,60615,5
1994,60615,6
1995,56550,7
1995,56550,8
1995,56550,9
1995,56550,10
1995,56550,11
1995,56550,12
1995,56550,1
1995,56550,1
1995,56550,2
1995,56550,3
1995,56550,4
1995,56550,5
1996,54218,6
1996,54218,7
1996,54218,8
1996,54218,9
1996,54218,10
1996,54218,11
1996,54218,12
1996,54218,1
1996,54218,1
1996,54218,2
1996,54218,3
1996,54218,4
1997,52393,5
1997,52393,6
1997,52393,7
1997,52393,8
1997,52393,9
1997,52393,10
1997,52393,11
1997,52393,12
1997,52393,1
1997,52393,1
1997,52393,2
1997,52393,3
1998,53800,4
1998,53800,5
1998,53800,6
1998,53800,7
1998,53800,8
1998,53800,9
1998,53800,10
1998,53800,11
1998,53800,12
1998,53800,1
1998,53800,1
1998,53800,2
1999,62690,3
1999,62690,4
1999,62690,5
1999,62690,6
1999,62690,7
1999,62690,8
1999,62690,9
1999,62690,10
1999,62690,11
1999,62690,12
1999,62690,1
1999,62690,1
2000,75071,2
2000,75071,3
2000,75071,4
2000,75071,5
2000,75071,6
2000,75071,7
2000,75071,8
2000,75071,9
2000,75071,10
2000,75071,11
2000,75071,12
2000,75071,1
2001,68071,1
2001,68071,2
2001,68071,3
2001,68071,4
2001,68071,5
2001,68071,6
2001,68071,7
2001,68071,8
2001,68071,9
2001,68071,10
2001,68071,11
2001,68071,12
2002,68622,1
2002,68622,1
2002,68622,2
2002,68622,3
2002,68622,4
2002,68622,5
2002,68622,6
2002,68622,7
2002,68622,8
2002,68622,9
2002,68622,10
2002,68622,11
2003,72737,12
2003,72737,1
2003,72737,1
2003,72737,2
2003,72737,3
2003,72737,4
2003,72737,5
2003,72737,6
2003,72737,7
2003,72737,8
2003,72737,9
2003,72737,10
2004,71560,11
2004,71560,12
2004,71560,1
2004,71560,1
2004,71560,2
2004,71560,3
2004,71560,4
2004,71560,5
2004,71560,6
2004,71560,7
2004,71560,8
2004,71560,9
2005,85308,10
2005,85308,11
2005,85308,12
2005,85308,1
2005,85308,1
2005,85308,2
2005,85308,3
2005,85308,4
2005,85308,5
2005,85308,6
2005,85308,7
2005,85308,8
2006,93533,9
2006,93533,10
2006,93533,11
2006,93533,12
2006,93533,1
2006,93533,1
2006,93533,2
2006,93533,3
2006,93533,4
2006,93533,5
2006,93533,6
2006,93533,7
2007,84427,8
2007,84427,9
2007,84427,10
2007,84427,11
2007,84427,12
2007,84427,1
2007,84427,1
2007,84427,2
2007,84427,3
2007,84427,4
2007,84427,5
2007,84427,6
2008,90795,7
2008,90795,8
2008,90795,9
2008,90795,10
2008,90795,11
2008,90795,12
2008,90795,1
2008,90795,1
2008,90795,2
2008,90795,3
2008,90795,4
2008,90795,5
2009,114440,6
2009,114440,7
2009,114440,8
2009,114440,9
2009,114440,10
2009,114440,11
2009,114440,12
2009,114440,1
2009,114440,1
2009,114440,2
2009,114440,3
2009,114440,4
2010,129459,5
2010,129459,6
2010,129459,7
2010,129459,8
2010,129459,9
2010,129459,10
2010,129459,11
2010,129459,12
2010,129459,1
2010,129459,1
2010,129459,2
2010,129459,3
2011,139397,4
2011,139397,5
2011,139397,6
2011,139397,7
2011,139397,8
2011,139397,9
2011,139397,10
2011,139397,11
2011,139397,12
2011,139397,1
2011,139397,1
2011,139397,2
2012,139717,3
2012,139717,4
2012,139717,5
2012,139717,6
2012,139717,7
2012,139717,8
2012,139717,9
2012,139717,10
2012,139717,11
2012,139717,12
2012,139717,1
2012,139717,1
2013,155895,2
2013,155895,3
2013,155895,4
2013,155895,5
2013,155895,6
2013,155895,7
2013,155895,8
2013,155895,9
2013,155895,10
2013,155895,11
2013,155895,12
2013,155895,1
2014,141808,1
2014,141808,2
2014,141808,3
2014,141808,4
2014,141808,5
2014,141808,6
2014,141808,7
2014,141808,8
2014,141808,9
2014,141808,10
2014,141808,11
2014,141808,12
2015,139115,1
2015,139115,1
2015,139115,2
2015,139115,3
2015,139115,4
2015,139115,5
2015,139115,6
2015,139115,7
2015,139115,8
2015,139115,9
2015,139115,10
2015,139115,11
2016,138163,12
2016,138163,1
2016,138163,1
2016,138163,2
2016,138163,3
2016,138163,4
2016,138163,5
2016,138163,6
2016,138163,7
2016,138163,8
2016,138163,9
2016,138163,10
2017,127560,11
2017,127560,12
2017,127560,1
2017,127560,1
2017,127560,2
2017,127560,3
2017,127560,4
2017,127560,5
2017,127560,6
2017,127560,7
2017,127560,8
2017,127560,9
2018,136716,10
2018,136716,11
2018,136716,12
2018,136716,1
2018,136716,1
2018,136716,2
2018,136716,3
2018,136716,4
2018,136716,5
2018,136716,6
2018,136716,7
2018,136716,8
2019,150125,9
2019,150125,10
2019,150125,11
2019,150125,12
2019,150125,1
2019,150125,1
2019,150125,2
2019,150125,3
2019,150125,4
2019,150125,5
2019,150125,6
2019,150125,7
2020,184221,8
2020,184221,9
2020,184221,10
2020,184221,11
2020,184221,12
2020,184221,1
2020,184221,1
2020,184221,2
2020,184221,3
2020,184221,4
2020,184221,5
2020,184221,6
2021,235192,7
2021,235192,8
2021,235192,9
2021,235192,10
2021,235192,11
2021,235192,12
2021,235192,1
2021,235192,1
2021,235192,2
2021,235192,3
2021,235192,4
2021,235192,5
2022,260746,6
2022,260746,7
2022,260746,8
2022,260746,9
2022,260746,10
2022,260746,11
2022,260746,12
2022,260746,1
2022,260746,1
2022,260746,2
2022,260746,3
2022,260746,4
2023,207780,5
2023,207780,6
2023,207780,7
2023,207780,8
2023,207780,9
2023,207780,10
2023,207780,11
2023,207780,12
2023,207780,1
2023,207780,1
2023,207780,2
2023,207780,3
2024,213693,4
2024,213693,5
2024,213693,6
2024,213693,7
2024,213693,8
2024,213693,9
2024,213693,10
2024,213693,11
2024,213693,12
2024,213693,1
2024,213693,1
2024,213693,2
2025,202366,3
2025,202366,4
2025,202366,5
2025,202366,6
2025,202366,7
2025,202366,8
2025,202366,9
2025,202366,10
2025,202366,11
2025,202366,12
2025,202366,1
2025,202366,1
2026,200921,2
2026,200921,3
2026,200921,4
2026,200921,5
2026,200921,6
2026,200921,7
2026,200921,8
2026,200921,9
2026,200921,10
2026,200921,11
2026,200921,12
2026,200921,1
2027,203001,1
2027,203001,2
2027,203001,3
2027,203001,4
2027,203001,5
2027,203001,6
2027,203001,7
2027,203001,8
2027,203001,9
2027,203001,10
2027,203001,11
2027,203001,12
