,year,doi_agencies,total
0,1985,78438000,239943000
1,1986,91153000,202778000
2,1987,81452000,335109000
3,1988,149317000,578926000
4,1989,168115000,499787000
5,1990,144252000,397952000
6,1991,73820000,206120000
7,1992,87166000,377466000
8,1993,56436000,240436000
9,1994,161135000,918335000
10,1995,110126000,477126000
11,1996,153683000,701183000
12,1997,105048000,284148000
13,1998,109904000,416704000
14,1999,154416000,515516000
15,2000,334802000,1410802000
16,2001,269574000,952696000
17,2002,395040000,1674040000
18,2003,303638000,1327138000
19,2004,281244000,1007244000
20,2005,294054000,818954000
21,2006,424058000,1704477000
22,2007,470491000,1620145000
23,2008,392783000,1585856000
24,2009,218418000,920529000
25,2010,231214000,809499000
26,2011,318789000,1374525000
27,2012,465832000,1902446000
28,2013,399199000,1740934000
29,2014,326194000,1522149000
30,2015,417543000,2130543000
31,2016,371739000,1975545000
32,2017,508000000,2918165000
33,2018,528000000,3143256000
34,2019,440000000,1590000000
